Timestamp,Roll,Pitch,Yaw
23.0,0.0,0.0,0.0
23.06,-35.48912811279297,-44.30549621582031,75.99652099609375
23.13,-67.10407257080078,-58.361183166503906,168.1781005859375
23.19,-93.17671203613281,-74.42736053466797,-154.97207641601562
23.25,-121.6457748413086,-81.61746215820312,-126.00054931640625
23.31,-154.66200256347656,-82.80419921875,-90.96937561035156
23.38,-166.62290954589844,-83.47032928466797,-79.40204620361328
23.44,-170.46267700195312,-83.64734649658203,-71.23755645751953
23.5,-171.28103637695312,-82.78218078613281,-66.73348999023438
23.56,-170.0111083984375,-83.01493835449219,-70.1860580444336
23.63,-172.33311462402344,-81.99677276611328,-66.37017059326172
23.69,-175.4268798828125,-82.73595428466797,-68.5064468383789
23.75,-173.9241485595703,-82.38227081298828,-67.78960418701172
23.81,-173.092041015625,-81.1722412109375,-69.74497985839844
23.88,-177.05470275878906,-80.34139251708984,-71.5582046508789
23.94,-177.29270935058594,-81.1047592163086,-77.27406311035156
24.0,-177.65768432617188,-80.98819732666016,-76.36492919921875
24.06,-171.36563110351562,-82.34213256835938,-82.54592895507812
24.13,-169.27444458007812,-82.6485595703125,-78.18070220947266
24.19,-172.06484985351562,-82.07508087158203,-74.2666015625
24.25,-178.35116577148438,-81.81572723388672,-69.437255859375
24.31,177.53628540039062,-81.90142822265625,-63.83454895019531
24.38,172.85110473632812,-82.15161895751953,-58.65757751464844
24.44,178.29702758789062,-82.62535095214844,-59.2186393737793
24.5,-175.35975646972656,-83.70716857910156,-65.41287231445312
24.56,-167.82200622558594,-83.67772674560547,-68.98572540283203
24.63,-164.1527862548828,-82.72677612304688,-73.94534301757812
24.69,-172.88645935058594,-81.30488586425781,-64.84387969970703
24.75,-178.77732849121094,-81.16304016113281,-62.03846740722656
24.81,174.564208984375,-80.17404174804688,-59.235496520996094
24.88,172.44009399414062,-80.4001235961914,-63.54815673828125
24.94,176.57814025878906,-81.00627136230469,-71.16116333007812
25.0,-170.20066833496094,-82.24150848388672,-82.4080810546875
25.06,-162.92181396484375,-83.34126281738281,-89.15433502197266
25.13,-166.66571044921875,-82.03382873535156,-82.29578399658203
25.19,-175.26751708984375,-81.93529510498047,-75.55178833007812
25.25,176.19467163085938,-81.38599395751953,-67.09468078613281
25.31,170.08973693847656,-79.5388412475586,-60.40317153930664
25.38,168.82135009765625,-79.26578521728516,-64.15748596191406
25.44,175.42709350585938,-79.33149719238281,-71.58370208740234
25.5,-178.58370971679688,-80.14451599121094,-80.70487213134766
25.56,-171.9508056640625,-80.32817077636719,-86.51530456542969
25.63,-171.92715454101562,-80.56925964355469,-88.98944091796875
25.69,-175.9571533203125,-79.93181610107422,-86.04480743408203
25.75,176.3114471435547,-78.60039520263672,-80.13188934326172
25.81,170.89100646972656,-78.04703521728516,-77.65796661376953
25.88,168.6717529296875,-77.66211700439453,-77.89686584472656
25.94,169.0646514892578,-78.24102020263672,-80.30130767822266
26.0,171.36102294921875,-78.5741195678711,-83.82443237304688
26.06,174.44544982910156,-79.78227996826172,-87.16546630859375
26.13,173.9806671142578,-78.52735900878906,-86.63981628417969
26.19,171.43504333496094,-76.80269622802734,-85.48963928222656
26.25,167.2550811767578,-75.4650650024414,-82.49474334716797
26.31,166.5784454345703,-74.55262756347656,-83.10773468017578
26.38,169.65228271484375,-73.92068481445312,-86.27348327636719
26.44,172.10003662109375,-74.09344482421875,-89.91426849365234
26.5,176.7147979736328,-75.50315856933594,-94.00741577148438
26.56,176.81607055664062,-77.02137756347656,-95.86182403564453
26.63,176.7490997314453,-77.67295837402344,-95.00435638427734
26.69,173.4039764404297,-76.89591217041016,-94.17675018310547
