Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
26.31,-21.48591732,-21.48591732,-3.58098622,0.982653061,-0.005102041,-0.11122449,-113.875,-11.5625,21.3125
26.38,0,-17.9049311,7.161972439,0.980612245,-0.005102041,-0.115306122,-113.875,-11.5625,21.3125
26.44,-17.9049311,-7.161972439,14.32394488,0.982653061,-0.009183673,-0.11122449,-113.875,-12.3125,21.6875
26.50,10.74295866,14.32394488,17.9049311,0.982653061,-0.01122449,-0.11122449,-115,-10.5,23.125
26.56,-28.64788976,17.9049311,7.161972439,0.982653061,-0.021428571,-0.096938776,-115,-10.5,23.125
26.63,10.74295866,3.58098622,-3.58098622,0.984693878,-0.019387755,-0.094897959,-115,-10.5,22.375
26.69,-35.8098622,-17.9049311,-7.161972439,0.982653061,-0.02244898,-0.094897959,-113.875,-10.5,22
26.75,-21.48591732,-21.48591732,-3.58098622,0.982653061,-0.013265306,-0.109183673,-113.875,-10.5,22
26.81,-25.06690354,-10.74295866,-7.161972439,0.984693878,-0.01122449,-0.105102041,-115,-11.1875,22.375
26.88,-21.48591732,-17.9049311,0,0.982653061,-0.007142857,-0.116326531,-115.3125,-11.1875,22.375
26.94,3.58098622,0,-7.161972439,0.980612245,-0.007142857,-0.113265306,-115.3125,-11.1875,22.375
27.00,-25.06690354,-3.58098622,14.32394488,0.980612245,-0.01122449,-0.105102041,-115.3125,-11.1875,22.375
27.06,7.161972439,-7.161972439,7.161972439,0.982653061,-0.013265306,-0.103061224,-113.5625,-11.9375,21.3125
27.13,-28.64788976,-3.58098622,10.74295866,0.978571429,-0.019387755,-0.096938776,-113.5625,-11.9375,21.3125
27.19,-3.58098622,-3.58098622,-3.58098622,0.980612245,-0.015306122,-0.105102041,-113.5625,-10.875,23.125
27.25,-25.06690354,3.58098622,-14.32394488,0.980612245,-0.015306122,-0.103061224,-113.1875,-11.1875,21.3125
27.31,-10.74295866,-14.32394488,-7.161972439,0.982653061,-0.005102041,-0.115306122,-113.1875,-11.1875,21.3125
27.38,0,-7.161972439,0,0.982653061,-0.007142857,-0.11122449,-114.25,-12.3125,22.0625
27.44,-17.9049311,-3.58098622,14.32394488,0.982653061,-0.009183673,-0.11122449,-115,-10.875,21.3125
27.50,14.32394488,-3.58098622,3.58098622,0.980612245,-0.013265306,-0.103061224,-115,-10.875,21.3125
27.56,-25.06690354,0,3.58098622,0.980612245,-0.017346939,-0.098979592,-115.6875,-9.75,22.0625
27.63,0,-17.9049311,0,0.982653061,-0.019387755,-0.098979592,-115,-10.875,22
27.69,-42.97183463,-14.32394488,-7.161972439,0.980612245,-0.019387755,-0.101020408,-115,-10.875,22
27.75,-25.06690354,-10.74295866,-3.58098622,0.984693878,-0.01122449,-0.113265306,-114.25,-10.125,22.0625
27.81,-32.22887598,-14.32394488,-10.74295866,0.980612245,-0.01122449,-0.109183673,-114.25,-10.125,22.0625
27.88,-14.32394488,3.58098622,-3.58098622,0.982653061,-0.003061224,-0.115306122,-114.625,-10.5,21.6875
27.94,7.161972439,-14.32394488,10.74295866,0.984693878,-0.007142857,-0.11122449,-115,-12.625,22.375
28.00,-25.06690354,-3.58098622,10.74295866,0.980612245,-0.013265306,-0.109183673,-115,-12.625,22.375
28.06,10.74295866,-3.58098622,7.161972439,0.980612245,-0.017346939,-0.101020408,-113.875,-10.5,21.3125
28.13,-28.64788976,-17.9049311,7.161972439,0.978571429,-0.021428571,-0.098979592,-113.875,-11.5625,22
28.19,-3.58098622,-21.48591732,-3.58098622,0.982653061,-0.017346939,-0.103061224,-113.875,-11.5625,22
28.25,-50.13380707,-17.9049311,-7.161972439,0.980612245,-0.017346939,-0.105102041,-115.3125,-11.5625,22.375
28.31,-17.9049311,0,-7.161972439,0.982653061,-0.007142857,-0.109183673,-113.875,-10.875,22
28.38,-21.48591732,-21.48591732,3.58098622,0.980612245,-0.007142857,-0.107142857,-113.875,-10.875,22
28.44,-14.32394488,0,17.9049311,0.980612245,-0.003061224,-0.115306122,-114.625,-11.9375,22.375
28.50,10.74295866,0,7.161972439,0.982653061,-0.015306122,-0.109183673,-115,-11.1875,21.3125
28.56,-25.06690354,3.58098622,17.9049311,0.982653061,-0.015306122,-0.105102041,-115,-11.1875,21.3125
28.63,14.32394488,-17.9049311,3.58098622,0.980612245,-0.019387755,-0.103061224,-114.625,-10.875,20.9375
28.69,-35.8098622,-7.161972439,-3.58098622,0.984693878,-0.019387755,-0.098979592,-115,-11.9375,21.6875
28.75,-10.74295866,-14.32394488,-10.74295866,0.984693878,-0.01122449,-0.101020408,-115,-11.9375,21.6875
28.81,-25.06690354,-10.74295866,0,0.978571429,-0.013265306,-0.107142857,-113.875,-11.5625,22
28.88,0,-14.32394488,3.58098622,0.984693878,-0.003061224,-0.113265306,-114.625,-11.5625,21.6875
28.94,3.58098622,-3.58098622,3.58098622,0.980612245,-0.01122449,-0.103061224,-114.625,-11.5625,21.6875
29.00,-10.74295866,-17.9049311,10.74295866,0.982653061,-0.01122449,-0.105102041,-113.875,-11.5625,22.0625
29.06,0,0,3.58098622,0.984693878,-0.017346939,-0.101020408,-115.3125,-9.75,22.0625
29.13,-21.48591732,-7.161972439,3.58098622,0.980612245,-0.017346939,-0.105102041,-115.3125,-9.75,22.0625
29.19,-14.32394488,-21.48591732,-3.58098622,0.980612245,-0.017346939,-0.103061224,-115,-10.125,21.6875
29.25,-25.06690354,-32.22887598,-10.74295866,0.980612245,-0.013265306,-0.105102041,-115,-10.125,21.6875
29.31,-21.48591732,-17.9049311,-3.58098622,0.982653061,-0.007142857,-0.109183673,-114.25,-11.5625,23.125
29.38,-14.32394488,0,3.58098622,0.980612245,-0.009183673,-0.107142857,-115,-10.875,22
29.44,-7.161972439,-7.161972439,7.161972439,0.982653061,-0.01122449,-0.105102041,-115,-10.875,22
29.50,-3.58098622,3.58098622,0,0.982653061,-0.017346939,-0.105102041,-114.25,-9.75,22.75
29.56,-17.9049311,-14.32394488,0,0.980612245,-0.017346939,-0.103061224,-115.3125,-10.875,21.6875
29.63,-14.32394488,-25.06690354,-10.74295866,0.982653061,-0.019387755,-0.105102041,-115.3125,-10.875,21.6875
29.69,-17.9049311,-17.9049311,-7.161972439,0.980612245,-0.013265306,-0.107142857,-113.875,-11.9375,22.75
29.75,-14.32394488,-32.22887598,-3.58098622,0.982653061,-0.009183673,-0.107142857,-114.25,-10.5,21.3125
29.81,-14.32394488,-21.48591732,-3.58098622,0.978571429,-0.005102041,-0.109183673,-114.25,-10.5,21.3125
29.88,-7.161972439,-3.58098622,3.58098622,0.982653061,-0.01122449,-0.103061224,-113.875,-11.5625,22.75
29.94,-17.9049311,-14.32394488,3.58098622,0.982653061,-0.017346939,-0.103061224,-113.875,-11.9375,21.3125
30.00,-14.32394488,-21.48591732,3.58098622,0.980612245,-0.017346939,-0.105102041,-113.875,-11.9375,21.3125
