ORT,ORA,RST,RSA
7.791,27.032,5.65625,19.108878
7.841,27.352,5.6875,19.206351
7.891,27.685,5.71875,19.305661
7.941,28.03,5.75,19.406758
7.991,28.388,5.78125,19.509577
8.041,28.759,5.8125,19.614038
8.091,29.141,5.84375,19.720047
8.141,29.533,5.875,19.827504
8.191,29.936,5.90625,19.936303
8.241,30.348,5.9375,20.046336
8.291,30.769,5.96875,20.157498
8.341,31.198,6,20.269691
8.391,31.635,6.03125,20.382824
8.441,32.079,6.0625,20.496818
8.491,32.53,6.09375,20.611607
8.541,32.988,6.125,20.727139
8.591,33.454,6.15625,20.843376
8.641,33.926,6.1875,20.960297
8.691,34.407,6.21875,21.077897
8.741,34.895,6.25,21.196184
8.791,35.392,6.28125,21.315181
8.841,35.899,6.3125,21.434927
8.891,36.415,6.34375,21.555469
8.941,36.942,6.375,21.67687
8.991,37.48,6.40625,21.799197
9.041,38.031,6.4375,21.922527
9.091,38.594,6.46875,22.046945
9.141,39.172,6.5,22.172535
9.191,39.764,6.53125,22.299389
9.241,40.371,6.5625,22.427595
9.291,40.995,6.59375,22.557245
9.341,41.635,6.625,22.688424
9.391,42.294,6.65625,22.82122
9.441,42.97,6.6875,22.95571
9.491,43.665,6.71875,23.091972
9.541,44.38,6.75,23.230075
9.591,45.115,6.78125,23.370083
9.641,45.87,6.8125,23.512053
9.691,46.647,6.84375,23.656035
9.741,47.444,6.875,23.802074
9.791,48.264,6.90625,23.950207
9.841,49.105,6.9375,24.100465
9.891,49.969,6.96875,24.252873
9.941,50.856,7,24.407452
9.991,51.766,7.03125,24.564217
10.041,52.699,7.0625,24.723177
10.091,53.656,7.09375,24.884342
10.141,54.637,7.125,25.047714
10.191,55.642,7.15625,25.213296
10.241,56.672,7.1875,25.381089
10.291,57.726,7.21875,25.551092
10.341,58.805,7.25,25.723305
10.391,59.909,7.28125,25.897727
10.441,61.038,7.3125,26.074359
10.491,62.192,7.34375,26.253203
10.541,63.372,7.375,26.434263
10.591,64.577,7.40625,26.617546
10.641,65.808,7.4375,26.803061
10.691,67.065,7.46875,26.99082
10.741,68.348,7.5,27.180838
10.791,69.656,7.53125,27.373134
10.841,70.991,7.5625,27.567731
10.891,72.351,7.59375,27.764654
10.941,73.737,7.625,27.963933
10.991,75.149,7.65625,28.165601
11.041,76.587,7.6875,28.369694
11.091,78.05,7.71875,28.576255
11.141,79.539,7.75,28.785325
11.191,81.052,7.78125,28.996951
11.241,82.59,7.8125,29.211184
NaN,NaN,7.84375,29.428077
11.291,84.152,7.875,29.647685
11.341,85.739,7.90625,29.870065
11.391,87.348,7.9375,30.095277
11.441,88.98,7.96875,30.323385
11.491,90.634,8,30.554451
11.541,92.309,8.03125,30.788541
